"Class: 25, Method: 200, Field: 120 dep:1197"										
Before: cohesion:0.013916 coupling:45.920000 raw_coupling:1148.000000 fit:0.000303 										
Iter	MSC	MPC	Fit	Refactoring #	Ref Accumulated #	expected coupling	actual coupling	search space	elapsed time	exhaustive space
126	0.020794518	35	0.000594129	1	126	875	875	25200	12.28	8.5498E+289
127	0.020804191	34.96	0.000595086	1	127	874	874	25400	12.36	1.71E+292
128	0.019994387	34.88	0.000573234	1	128	872	872	25600	12.45	3.4199E+294
129	0.019042006	34.84	0.000546556	1	129	871	871	25800	12.53	6.8398E+296
130	0.019355494	34.8	0.000556192	1	130	870	870	26000	12.62	1.368E+299
131	0.01965615	34.72	0.000566133	1	131	868	868	26200	12.7	2.7359E+301
132	0.019732531	34.68	0.000568989	1	132	867	867	26400	12.79	5.4719E+303
133	0.01949106	34.6	0.000563325	1	133	865	865	26600	12.87	1.0944E+306
134	0.019486922	34.56	0.000563858	1	134	864	864	26800	12.96	218875090280804639815637938448574527971698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
135	0.021679904	34.52	0.000628039	1	135	863	863	27000	13.04	43775018056160927963127587689714905594339698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
136	0.018863323	34.48	0.00054708	1	136	862	862	27200	13.13	8755003611232185592625517537942981118867939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
137	0.018688764	34.44	0.000542647	1	137	861	861	27400	13.21	1751000722246437118525103507588596223773587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
138	0.016349583	34.4	0.000475279	1	138	860	860	27600	13.3	350200144449287423705020701517719244754717587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
139	0.017206788	34.36	0.00050078	1	139	859	859	27800	13.38	70040028889857484741004140303543848950943517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
140	0.017934589	34.32	0.00052257	1	140	858	858	28000	13.46	14008005777971496948200828060708769790188703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
141	0.017935633	34.28	0.00052321	1	141	857	857	28200	13.55	2801601155594299389640165612141753958037740703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
142	0.017965701	34.2	0.000525313	1	142	855	855	28400	13.63	560320231118859877928033122428350791607548140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
143	0.018992986	34.12	0.000556653	1	143	853	853	28600	13.72	112064046223771975585606624485670158321509628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
144	0.020626343	34.08	0.000605233	1	144	852	852	28800	13.8	22412809244754395117121324897134031664301925628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
145	0.020578616	34.04	0.000604542	1	145	851	851	29000	13.88	4482561848950879023424264979426806332860385125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
146	0.020601574	33.96	0.000606642	1	146	849	849	29200	13.97	896512369790175804684852995885361266572077025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
147	0.021863667	33.92	0.000644566	1	147	848	848	29400	14.06	179302473958035160936970599177072253314415405025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
148	0.021896602	33.88	0.000646299	1	148	847	847	29600	14.15	35860494791607032187394119835414450662883081005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
149	0.021956478	33.84	0.000648832	1	149	846	846	29800	14.24	7172098958321406437478823967082890132576616201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
150	0.022013064	33.8	0.000651274	1	150	845	845	30000	14.33	1434419791664281287495764793416578026515323240201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
151	0.02208818	33.76	0.000654271	1	151	844	844	30200	14.42	286883958332856257499152958683315605303064648040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
152	0.022097328	33.72	0.000655318	1	152	843	843	30400	14.51	57376791666571251499830591736663121060612929608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
153	0.0221862	33.68	0.000658735	1	153	842	842	30600	14.61	11475358333314250299966118347332624212122585921608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
154	0.019592956	33.64	0.00058243	1	154	841	841	30800	14.7	2295071666662850059993223669466524842424517184321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
155	0.019679576	33.6	0.000585702	1	155	840	840	31000	14.79	459014333332570011998644733893304968484903436864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
156	0.018479376	33.56	0.000550637	1	156	839	839	31200	14.89	91802866666514002399728946778660993696980687372864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
